,user_id,item_indices_seq,review_titles_seq,review_texts_seq,ratings_seq,helpful_votes_seq,verified_seq
60,AE25O6GDQGFOR4GSSOEU46JLT6IQ,[792],['Five Stars'],['wonderful gift!'],[5],[0],[1]
61,AE25PKP4DELQUP4EKOFRMTXG26GQ,[180],['Perfect gift'],['What could be better than having $500 to spend on Amazon?'],[5],[0],[1]
62,AE25QOU5FZPZM22FZZXKM23XW6ZA,[503],['Five Stars'],['So unique and clever! Really cute girlie gift.'],[5],[0],[1]
63,AE25QXBU37XTSCQWOEKOXE5NQWDQ,[541],['Fast action'],['Love it when you add a gift code it takes seconds to be added to your account'],[5],[0],[1]
64,AE25UGJMGS2AEPO4NA2RKM5ZWMKA,[530],['Versatile gift!'],"[""Great gift item! Who doesn't love free money? And who doesn't buy on Amazon. I got 10 and it's almost time to re-order. Used for birthdays, wedding, new baby, new job & reward for good grades.""]",[5],[0],[1]
65,AE25WOL5QSDM7AWMSJIQ2Z6CE2CA,[541],['ISSUE WITH REFUND'],"[""My issue with the Amazon Gift card is that if you partiality use your gift card balance, whatever is the remaining balance on your card can no longer be refunded to your credit or debit card. I had over $100 USD remaining balance on my gift card but I  couldn't get a refund when I called customer service even though I used my debit card to top-up my  Amazon Gift card.  This issue has to be addressed  ASAP by Amazon. They should include this information in their terms of use.""]",[3],[0],[1]
66,AE25ZKURDE3UR3Y72VAR7MTMKMVQ,[135],['it didnt provide the full 1OO'],"[""I bought the visa giftcard and it didn't provide the full amount. When trying to buy something for 95 dollars it declined. There were no other purchases before that""]",[2],[0],[1]
67,AE264SMNIIORH3JSG6A3R7YBAZBQ,"[996, 101]","['Convenient', 'Festive']","['What is to review, it is a gift card', 'Product as described. Festive.']","[4, 5]","[2, 0]","[1, 1]"
68,AE265ZYEFT7YSAN63YTSEBR7QUNA,[89],"[""I got the job done so I'm happy""]",['Easy to understand and easy to load.'],[5],[0],[1]
69,AE26BMQUN5OGPJJ7G5TA2R2MJ7DA,"[143, 745]","['Five Stars', 'Five Stars']","['The best gift to give someone.', 'perfect']","[5, 5]","[0, 0]","[0, 1]"
70,AE26CSGLPYTKSOIHBQJYHLYEFTCA,[541],['Easy to use and convenient'],"[""Very handy as a Christmas present, or an anytime present, I'd wager""]",[5],[0],[1]
71,AE26F2E4Y5IG2SSQGJGNXDN724KA,[135],['For your mom'],['Made a great Mother’s Day gift!'],[5],[0],[1]
72,AE26FTQFGTZL36CIULK56JWYRPKA,[541],['Easy to use.'],['I have used reload a couple of times and loved it.'],[5],[0],[1]
73,AE26HBOO4GYYINGVYL4PMCENHW5Q,[838],['Five Stars'],['Cute'],[5],[0],[1]
74,AE26IFWIKP3UQZNLMSFNFQU67TZQ,[143],['Five Stars'],['Perfect!'],[5],[0],[1]
75,AE26KS6ZD7R5TFKMQW5Z737XUNMQ,[541],['Five Stars'],['VERY FAST'],[5],[0],[1]
76,AE26LUXTPUUSKS7EQINTEPYCQWMQ,[133],['Five Stars'],['She loved this gift and the packaging was perfect!'],[5],[0],[1]
77,AE26MCFJTW3MUBIWOXVS6VXXYSIQ,[541],['Reloading a gift card is super easy.'],"[""I use the card mostly for Kindle books, but once in a while I do find other things.  I like it because it's convenient with no hassles. It's a very easy way to shop and I can add funds at any time.""]",[5],[0],[1]
78,AE26N5BRXPJ6PH2RXRAZFSMUJ2HQ,"[335, 101]","['gift card', 'Gift']","['I got this as a gift for my cousin, it was easy and a good gift ,', 'Had to return a gift, do now I can give her this to pick her own gift']","[5, 5]","[0, 0]","[1, 1]"
79,AE26OQVEXZVTHYAIFDD24CFG6QLA,[250],['A+++'],['My gradson loved it for Christmas and so easy a gift for us to give!'],[5],[0],[1]
80,AE26OWEZ55KWBE7ZNKLOSQGZECPA,[912],['Great Gift!'],"[""You can't go wrong with an Amazon Gift Card.  I loved the tin it was in, and it made a great stocking stuffer.""]",[5],[0],[1]
81,AE26PBZXQ5PAPQUIPLPASQZVVUKQ,[89],['Great'],['Reloads are very useful!'],[5],[0],[1]
82,AE26PWJJMZN7ICG2OJFD2GHHOQWA,[862],['A gift for someone hard to buy for!'],"['Gift cards are wonderful.  Nice to choose something wanted rather than put the gift giver through the anxiety of purchasing something.  I suggest ordering much earlier than the date needed.  My order was delayed so it did not arrive in time for birthday gift surprise!  Putting aside delay, recipient was delighted!']",[5],[0],[0]
83,AE26S5LJMJO3YRBWJIBKGVDEYWAA,[101],['Made recipients very happy!'],['Xmas gifts'],[5],[0],[1]
84,AE26SWA3OYVZZDOPJJWBO4I4LGXA,[688],['Like the socks'],"['My husband like the socks, very comfortable. The combo is more practical than teddy bear from previous years. Hope there will be socks for women as well.']",[5],[0],[1]
85,AE26TPOLUDY4TA7KGV2ZXCQJTLPA,[881],['Perfect gift!'],['Perfect gift for a hard to buy for friend.  Tin is darling.'],[5],[0],[1]
86,AE26UWZA35G47TCJPXUR4CWT5X5A,[838],['It was perfect. Outside was beautiful and so was the inside'],['It was perfect. Outside was beautiful and so was the inside. Was disappointed because recently tHere was a $15.00 bonus whereas I had gotten a $10.00 one.'],[5],[0],[1]
87,AE26UY23FSC4FKYGVUXZWHLAEFAQ,[541],['Reload reward'],['I was rewarded $10 for reloading my gift card. I thought that was a great perk. Thank you.'],[5],[1],[1]
88,AE26V67R6SYRBNAVUGZ2ROE5BAFQ,[541],['Easy'],['Love the ease of reloading card!'],[5],[0],[1]
89,AE26WMVPLMBCJORUXVBV7FRBCSIQ,[541],['Amazon Gift Card'],"['I love the gift card.  My son gives me one every Christmas and birthday.  I usually have an idea what I will purchase beforehand, and put it in my cart, so I can shop immediately.']",[5],[0],[1]
90,AE26XRG27XHUKKJ4FNCL2Q5LLSXA,[373],['Two Stars'],['Not way enderstand for discount for next purchase'],[2],[1],[1]
91,AE26YKDCTSSII5E7BGBX4S2KY2FQ,[250],['Five Stars'],['Very good'],[5],[0],[1]
92,AE272APQP6U4EG466VHM3IYZTN5Q,[541],['Five Stars'],['Reloading it is really easy! And the amount is IMMEDIATELY AVAILABLE FOR FUTURE PURCHASE of goods. Congratulation!!!'],[5],[0],[1]
93,AE272KHMKLQP2NPE5E4PM5H2ZX2A,[541],"[""It's like a gift to myself""]","[""Look forward to the Auto-Reload every month. It's like a gift to myself!""]",[5],[0],[1]
94,AE274BL2D5LRN5EQOD7LOESEMWCQ,[127],['The gift for someone that hase everything'],['My nieces are notoriously difficult to shop for this solve a multitude of problems.'],[5],[0],[1]
95,AE2774W6NHC7IFHWXMHGMWDBJOJA,[101],"[""What's not to like?""]","[""It's a gift card""]",[4],[0],[1]
96,AE27BSPCPFJGLGSWPLHW2RSTW7HQ,[541],['Five Stars'],['nice feature'],[5],[0],[1]
97,AE27E7JTGMSSVK3JXBR4PBTXI2DQ,[269],['Shopping at the last minute'],['Gift cards are great for teenagers who will not tell you what they want for Christmas!'],[5],[4],[1]
98,AE27F3ETT2XJJUVRLYTJ5HECD2UA,[101],['Elegant'],['A wonderful surprise and the recipient was delighted.'],[5],[0],[1]
99,AE27IUPKFK3PD4RWY6JT5FWBRFYQ,[140],['No problems'],['Received this fast I used it in the restaurant with no problems'],[5],[3],[1]
100,AE27K3VV43BYOTJTRYSWWDQFP75A,[143],['Five Stars'],['Perfect gift....love the packaging.'],[5],[0],[1]
101,AE27L52EBSPYM4PZTWHKTRLISZLQ,[541],['TERRIBLE RIP OFF !'],"[""I can't even find an option to use the Reload card ! Amazon kept showing it to me upon checkout on every item I bought. So I said Hell ill try it it. Now I can't even find it on here or use it ! $100 of my money gone ! Do NOT get the Reload card !""]",[1],[1],[1]
102,AE27MXUK6V3NJHIV7D2E3MS4DIJA,[541],['Five Stars'],['money'],[5],[1],[1]
103,AE27PT4KSAYD3UFYFHRDERUEVRJQ,[688],['Best gift card!'],"['Very cool gift card combo pack, the socks are great quality and the print is very fun.<br />I loved this package, makes giving gift cards more personal']",[5],[1],[1]
104,AE27QI46LKFFTFXRWFEYY72MRKZQ,[541],['Add Balance on Gift Cards to Amazon Account!!'],['Easy to do!'],[5],[0],[1]
105,AE27S4V5MMUBTLBNRUF7BQOP56KQ,[298],['Gift card'],['Easy gift cards'],[5],[0],[1]
106,AE27STIW3UAITGXAPKLGY7I2XDYQ,[89],['Easy to reload'],['Super easy time do'],[5],[0],[1]
107,AE27VOE2OSXJM5HYEBZQ7JHWVVCA,[541],['Fast and Easy'],['This is a very easy process for saving money to buy long term items'],[5],[1],[1]
108,AE27VSSYT4KZ6NBRVXRYQBDNGIWA,[135],['Very Disappointed'],['This gift card arrived with two corners bent.  Very disappointing.'],[2],[0],[1]
109,AE27WGVNKJXATFNMJYFC24OSHPXQ,[541],['Good deal'],['Reload $40 and get a $10 credit for purchase products sold by Amazon. Product sold by third party are not eligible for the $10 credit.'],[5],[0],[1]
110,AE27XPFYEYTNFVR6FTWLWXNA3T7A,[101],['nice alternative to a plain card'],['I gave this a 4 because there is no area to write the amount on the card'],[5],[0],[1]
111,AE27ZOSTRN66BKFRUBX3YM4TPP3Q,[89],['Easy to add money in instant'],['Buy more items'],[5],[0],[1]
112,AE27ZVUNVMVMZYCVV2QNPDAEGL6A,[838],['They can get what they want! Gift card!'],['My grandson has his eye on something at Amazon so he was delighted to get the gift card!'],[5],[0],[1]
113,AE2A27QURGDK5YEBO3N5WKVRGC4Q,[450],"['The eyebrow of the \'Rock"" on my man\'s face']","[""That exact face being made when he opened up this big box, one after another until he reached the actual gift card and was actually shocked rather than being spoiled in a room of gifts more than all the grandkids.  After that bone-cracking laughter slowed, with slight tears are reminding him our last area Sear's was closing, we had to tell him it was his starter fund to go re-do a portion of the garage.  :)""]",[4],[0],[1]
114,AE2A2UEOP5RBEFEYRII2RWLRWYZA,[101],['Works perfectly fine'],"[""It's was a gift""]",[5],[0],[1]
115,AE2A5HV4V3QP5H5UO7EK6CMBLCHQ,[135],['SCAM'],"['This visa gift card was a scam. Bought it for my 80 yr old parents for a gift. They could not use it, and when they called the number on the card, they were told that it was purchased at Wal-Mart and the value was only $75. My parents had the receipt from Amazon in the amount purchased for $100. I feel terrible for them that it was declined in 2 different stores.DO NOT BUY THIS CARD']",[1],[4],[1]
116,AE2A5WWSDNCPVFM2QUMJS3HIAS7A,[541],['Five Stars'],['Great deal.'],[5],[0],[1]
117,AE2A6RWPMO7THVPACQAY4367V6GQ,[541],['Five Stars'],['Thx'],[5],[0],[1]
118,AE2AAXAUB6DWBJHNAUUEGEIZSDCQ,[89],"['Es horrible el cambio que le hicieron, ahora es muy complicado.']",['Complicado de hacer.'],[1],[2],[1]
119,AE2ABJWX2V7FFUIO6ZAJV4VHHJEA,[541],['The best'],['Everyone loves Amazon gift cards.'],[5],[0],[1]
120,AE2AIUKLQ4GC7UKQWUNXGSWNRMCQ,[541],['Five Stars'],['they make it so easy.'],[5],[0],[1]
121,AE2AKGIUFPQYKIJNO7ECQZ22LHJA,[541],['5 stars'],['WORKS PERFECT!!'],[5],[0],[1]
122,AE2ALCFGFHLPBDL2YQL4PATT3QQA,[541],['Easy to use'],['Easy'],[4],[0],[1]
123,AE2AOXTQZYQFDW5AJ7MHRBUT6DTA,[541],"[""It's great!""]",['Simple and easy.  Funds always on hand for purchases.'],[5],[0],[1]
124,AE2AQFQL234ZQEBYCH3QAXCH5KAA,[912],['Nice'],['Nice presentation for a small gift.'],[4],[0],[1]
125,AE2ARASYACUNK4QQXUA5YUQJZCGA,[101],"['Bent, crushed']","[""It arrived on time but was dented, like it had been crushed under a 50-pound weight. The paper cutout decoration still unfolded ok, but the whole presentation looked terrible. I should've just picked up an Amazon gift card from the drug store.""]",[1],[0],[1]
126,AE2AU6BDGENOA4I4IGAMPTDAX3WQ,[403],['They even credited me the $5 for buying the 3 pack so yaya'],"[""Well I thought I was supposed to get a $5 credit for ordering them but I haven't received it so not sure what happened :(""]",[5],[0],[1]
127,AE2AVDXTWPUY5AIZ7R3XNL6DVR2A,[989],['Excellent'],['Excellent gift for a graduate.<br />Thank-you Amazon<br />Essani'],[5],[0],[1]
128,AE2AYG63N2TMR4PCO7RYHI755EAA,[88],['I specifically searched for a debit gift card.'],['And found these described as redeemable etc.<br />So I sent one as a card replacing a check.<br />My family could not get the value from the card at their bank.<br />Beware;'],[2],[2],[1]
129,AE2B3BM6RNJ57C2ANCC6QT5RDJYQ,[541],['Works fine'],['Good'],[5],[0],[1]
130,AE2B4YUHFY4CKO463RA6PQ54YCCA,[873],"[""... a gift for my daughter & I'm sure she'll love it.""]","[""It was a gift for my daughter & I'm sure she'll love it.""]",[5],[1],[1]
131,AE2B5FKJN2OFDGJPWA3QRJIRNSAQ,[541],['no meguto'],['no lo recomiendo'],[1],[0],[1]
132,AE2B5P4UOIZGJ55ZHD6AYWCIWD7Q,"[328, 88, 450]","['Easy purchase', 'Perfect gift', 'Quick shipping and easy to use']","['Exactly what I needed always make the perfect gifts', 'Perfect gift quick purchase and shipping', 'These are the perfect gifts and super fast delivery!  Always so convenient if someone lives out of state']","[5, 5, 5]","[0, 1, 0]","[1, 1, 1]"
133,AE2B7IJUM7ECDPWCSNMAPJUDQXVQ,[450],['great when it wants 2work'],"['It worked fine upon arrival!  Had no issues having it delivered in 2 days, and without any issues or having to sign for delivery, it was just left at my door.<br />But the card has monies left on it from the 200+ and then at store it declined it 2 - 3 times it was not fun and it is embarrassing at same time when that happens.  I ordered these so I may see what it is like prior to ordering them for actual gifts instead of always purchasing Amazon Gift Cards, thought it would be nice to change it up notch, but my bad not thinking this is a good idea.  Now my 2nd order and it was not delivered to me due to I was not home, well no one said to be home no one said anything now they want signature for it, how lame for the 1st one it was just left.  Now the employee was so rude locally in my city over the phone.  So now delayed in delivering the new ordered card of 200 etc.  I wonder where is the remainder of my monies on the 1st card?  That really sucks. It was fun while it lasted, will see how the 2nd card will work out when and if it arrives!  So....buyer be ware!']",[4],[0],[1]
134,AE2BA5BZQVDYK2NQSIX7Y3PTOEDQ,[89],['Useless'],['Can not get a number of the card or a code to use it'],[1],[0],[1]
135,AE2BAUYD7HIJR3XWJPEK5UDB26RA,[541],['Why not!!??!!'],"['Got a ten dollar ""spiff"" for reloading $100 onto the card.  We are always buying stuff from the \'zon; so why not???']",[5],[0],[1]
136,AE2BC6KYPHJFFL73QCJ6EIPTNYOA,[1042],['Util'],['Bueno'],[5],[0],[1]
137,AE2BDMBYOAKNVWXJXPG2TNQEDROQ,[898],['Get that aloha feeling'],['Love the pineapple shape as it was for a friend in Hawaii'],[5],[0],[1]
138,AE2BDS47A32YHGR3VO6QM5BYXIJA,[450],['I loved it!!!'],"['Being honest about my review, this product is incredible, it is the same as the description, excellent quality and the seller sent it quickly. Thanks']",[5],[0],[1]
139,AE2BIL7IHCI7G7334ZDA4X5VERYA,[143],['Five Stars'],['I was surprised it looked so nice.'],[5],[0],[1]
140,AE2BM4TZO2MLR7DPYI266F7LWAZA,"[328, 1031]","['Gifting', 'Perfection']","['Always the perfect gift', 'Love this']","[5, 5]","[1, 0]","[1, 1]"
141,AE2BQAM3UWJYZKREMBYOD2RHNO4A,[541],['You should try it its your money plus more! :)'],['this is awesome gives you 2% back'],[5],[0],[1]
142,AE2BQMZJTAZJQOHZR3VBKGDT66KQ,[737],['One Star'],"[""Don't like it never got the $10. never do it again.""]",[1],[0],[1]
143,AE2BRL4IBCTC5KXWEPDJCMKSWQAQ,[541],['Just a couple of quick clicks!'],['Easy to do. Transfer $$'],[5],[0],[1]
144,AE2BT3E25CHUHFSJZYT2YBSHX5BA,[465],['Easter gift'],['I love the way this card is presented.  My granddaughter will love it!'],[5],[0],[1]
145,AE2BU7WGUXEYKA73A77UXWYDK5NQ,[541],['Very easy'],['Bonus 10$ was added immediately as the payment was done by CC'],[5],[1],[1]
146,AE2BUTHDPVHP4KBETYDYKTPCWOTA,[89],['Perfect gift!'],['Perfect gift!'],[5],[0],[1]
147,AE2BXB6E4KPH5MHZ7KTMGHS55FKA,[298],['Cute design for a holiday thank you!'],['I bought these to hand out around the holidays to random people that either I thought needed a pick me up or just did a great job. The design was cute and easy to hand out.'],[5],[0],[1]
148,AE2BYRUITCQFJLONRXMYVTDM2USA,[770],['Great Deal'],['Was quick and efficient'],[5],[0],[1]
